# Location database data run 2014 Oct 7
# =====================================================================================================================
# On tethys:
#
# \f |
# \a
# select l.*,n.easting,n.northing from location_data l left outer join naptan n on l.crs=n.crscode order by location;
# =====================================================================================================================
id|location|crs|nlc|tiploc|stanox|station|delay_monitor_point|data|notes|easting|northing
115|Acton Grange Junction||238401|ACGJN|35555|f|f|f|||
116|Acton Grange Norton Level Crossing||238402|ACGJNLX|35588|f|f|f|||
117|Acton Lane Reception Sidings||142427|ACTNLRS|72211|f|f|f|||
118|Acton Lane Reception Sidings GB Railfreight||142424|ACTNLRG|72209|f|f|f|||
119|Acton Locomotive Holding Sidings||300060|ACTOLHS|73249|f|f|f|||
120|Acton Main Line|AML|300000|ACTONML|73240|t|f|f||520360|181230
121|Acton Signal SN177||300011|ACTO177||f|f|f|||
122|Acton Terminal Complex|XAX|300100|ACTONTC|73250|f|f|f|||
123|Acton Town LT|ZAT|050000|||t|f|f|||
124|Acton Wells Junction||140402|ACWLJN|72251|f|f|f|||
125|Acton West|ACW|300058|ACTONW|73251|t|f|f|||
126|Acton Yard English Welsh & Scottish Railway||300104|ACTOEWS|73235|f|f|f|||
127|Acton Yard Foster Yeoman||||73105|f|f|f|||
128|Acton Yard GB Railfreight||300010|ACTOGBR|73248|f|f|f|||
129|Acton Yard London Redland Roof Tiles||||73237|f|f|f|||
130|Acton Yard [unknown feature]||||73990|f|f|f|||
131|Adderley Park|ADD|103600|ADERLYP|65614|t|f|f||409880|287250
132|Addiewell|ADW|931000|ADIEWEL|4090|t|f|f||299500|662300
133|Addiscombe|ACM|504500|ADSCMB|88324|t|f|f|||
134|Addlestone|ASN|555000|ADLESTN|86011|t|f|f||505587|164866
135|Addlestone Junction||555060|ADLESTJ|86010|f|f|f|||
136|Adisham|ADM|516000|ADISHAM|89514|t|f|f||623391|153976
137|Adlington (Cheshire)|ADC|293900|ADLC|32575|t|f|f||391200|380300
138|Adlington (Lancashire)|ADL|264100|ADNL|30321|t|f|f||360200|413135
139|Adswood Road Junction||277101|ADSWDRD|32561|f|f|f|||
140|Adwick|AWK|835300|ADWICK|23118|t|f|f||454375|408725
141|Adwick Junction||835411|ADWICKJ|23120|f|f|f|||
142|Agecroft Junction||292902|AGCRFTJ|31563|f|f|f|||
143|Aigburth|AIG|225500|AIGBURT|36086|t|f|f||338400|385700
144|Aime La Plagne||270200|||f|f|f|||
145|Ainsdale|ANS|235000|AINSDAL|36062|t|f|f||331101|412224
146|Aintree|AIN|212500|AINTREE|36027|t|f|f||336625|397890
147|Aintree Metal Box||212517|AINTRMB||f|f|f|||
148|Aintree Sefton Junction||212501|AINTSFJ|36027|f|f|f|||
149|Aintree Signal 1206||212502|AINT206|36026|f|f|f|||
150|Airbles|AIR|969500|AIRBLES|7476|t|f|f||275034|656191
151|Airdrie|ADR|975900|AIRDRIE|7327|t|f|f||276000|665200
152|Airdrie Carriage Sidings||975950|AIRDCS|7326|f|f|f|||
153|Airdrie Signal YS754||975940|AIRD754|7325|f|f|f|||
154|Airport Tyne & Wear Metro|APN|884500|AIRP|12401|t|f|f||418566|571308
155|Ais Gill||210401|AISGILL|9438|f|f|f|||
156|Aish Emergency Crossovers||355550|AISHXO|84060|f|f|f|||
157|Akeman Street UK Fertilizers|AKS|149012|AKMNSUF||t|f|f|||
158|Albany Park|AYP|513200|ALBNYPK|88462|t|f|f||547855|172860
159|Albany Park Footscray Lane||513210|ALBNFCL||f|f|f|||
160|Albany Park Hurst Road/Valentine Avenue||513211|ALBNHV||f|f|f|||
161|Albion Ground Frame||114000|ALBION|65813|f|f|f|||
162|Albrighton|ALB|461400|ALBRGHT|65033|t|f|f||381900|304500
163|Alderley Edge|ALD|276000|ALDEDGE|32581|t|f|f||384317|378563
164|Aldermaston|AMT|314500|ALDMSTN|74714|t|f|f||460100|167345
165|Aldermaston Civil Engineernulls Tip||314562|ALDMCE|74713|f|f|f|||
166|Aldermaston Oil||||74711|f|f|f|||
167|Aldermaston Padworth Sidings||314513|ALDMSPS|74712|f|f|f|||
168|Aldermaston Signal R810||314512|ALDM810|74714|f|f|f|||
169|Aldersbrook Signal 337/354||688115|ALDB337|50430|f|f|f|||
170|Aldersbrook Up Carriage Holding Sidings|XAK|688113|ALDBUCS|50430|f|f|f|||
171|Aldershot|AHT|562300|ALDRSHT|87031|t|f|f||486656|150424
172|Aldershot Government Sidings|||ALDRSGS|87034|f|f|f|||
173|Aldershot North Junction||562363|ALDRSJN|87037|f|f|f|||
174|Aldershot Park Siding|||ALDRSPS||f|f|f|||
175|Aldershot Signal AS15||562362|ALDRS15|87032|f|f|f|||
176|Aldershot Signal AS16||562361|ALDRS16|87033|f|f|f|||
177|Aldershot South Junction||562364|ALDRSJS|87013|f|f|f|||
178|Aldgate|ZAD|050200|ALDGTLT||t|f|f|||
179|Aldgate East|ZAE|050300|ALDGEST|87123|t|f|f|||
180|Aldrington|AGT|528000|ALDTON|87985|t|f|f||527984|105666
181|Aldwarke Junction|AKJ|667015|ALDWRKJ|24701|t|f|f|||
182|Aldwarke Junction Signal S738||667019|ALDW738|24500|f|f|f|||
183|Aldwarke Repair Sidings||667017|ALDWRS|24502|f|f|f|||
184|Aldwarke Roundwood BSC 11" Mill|ALC|667014|ALDWRML|24405|t|f|f|||
186|Aldwarke Signal S1092||667013|ALDW109|24503|f|f|f|||
185|Aldwarke Signal S721||667018|ALDW721|24701|f|f|f|||
187|Aldwarke UES|AWE|667016|ALDWNWS|24501|t|f|f|||
189|Alexandra Dock Junction Signal N440||367758|ALXN440|76472|f|f|f|||
188|Alexandra Dock Junction Terminal Complex|ADJ|367757|ALXNJTC|76470|t|f|f|||
190|Alexandra Dock (Liverpool)|||ALXNDCK|36103|f|f|f|||
191|Alexandra Dock Up And Down Goods||367759|ALXNUDG|76469|f|f|f|||
192|Alexandra Palace|AAP|602500|ALEXNDP|54103|t|t|t||530295|190460
193|Alexandra Palace Sand Siding||602512|ALEXPSS|54103|f|t|t|||
194|Alexandra Palace Tunnel Sidings|||ALEXPTS||f|f|f|||
195|Alexandra Parade|AXP|990500|ALXPD|6525|t|f|f||261700|665600
196|Alexandria|ALX|986100|ALXANDR|6123|t|f|f||239300|679900
198|Alfreton Explosives & Chemical Co||||56132|f|f|f|||
197|Alfreton & Mansfield Parkway|ALF|180500|ALFRETN|56127|t|f|f||442300|356100
199|Allens West|ALW|752000|ALLENSW|15702|t|f|f||441449|514558
200|Allens West Urlay Nook Crossover||752010|ALLEURL|15705|f|f|f|||
201|Allerton|ALE|221400|ALERTN|36192|t|f|f|||
202|Allerton Diesel Multiple Unit Depot|XAL|221600|ALERTNS|36191|f|f|f|||
203|Allerton "GAS"||||36190|f|f|f|||
204|Allerton Junction||221401|ALERTNJ|36195|f|f|f|||
205|Allington ARC Siding|ALA|521312|ALLGARC|89312|t|f|f|||
206|Allington ARC Siding Reverse||521313|ALLGREV|89314|f|f|f|||
207|Allington East Junction||646929|ALNGEJN|44505|f|f|f|||
208|Allington Junction|ALJ|646925|ALNGJN|44509|t|f|f|||
209|Allington North Junction||646927|ALNGNJN|44507|f|f|f|||
210|Alloa|ALO|988300|ALLOA|3375|t|f|f||288800|693115
211|Alloa Allied Breweries||||3374|f|f|f|||
212|Alloa Bus Link|ABL|707400|||t|f|f|||
213|Alloa Loop||910925|ALLOALP|3373|f|f|f|||
214|All Saints DLR|ZAS|085000|||t|f|f|||
215|Allscott Ground Frame||440602|ALSCGF|64705|f|f|f|||
216|Allscott Sidings|ALL|440601|ALSCTSW|64704|t|f|f|||
217|Allscott Upton Magna||440603|ALSCUPT|64703|f|f|f|||
218|Alness|ASS|860500|ALNESS|1058|t|f|f||266000|869400
219|Alnmouth|ALM|778700|ALNMOTH|12112|t|f|f||423115|611040
220|Alnmouth Little Mill Level Crossing||778704|ALNMILL|12111|f|f|f|||
221|Alperton LT|ZAP|050500|||t|f|f|||
222|Alresford||592463|ALRSFRD|87018|f|f|f|||
223|Alresford (Essex)|ALR|684700|ALRESFD|50027|t|f|f||606525|221515
224|Alresford Swan (by Bus)||592466|ALRSBUS||f|f|f|||
225|Alrewas Level Crossing||129270|ALRWAS|66040|f|f|f|||
226|Alsager|ASG|122300|ALSAGER|42412|t|f|f||380100|355100
227|Alsager East Junction||122302|ALSAEJN|42412|f|f|f|||
228|Alsager Up & Down Goods Loop|ALU|122301|ALSAUDG|42413|t|f|f|||
229|Alstone Carriage Holding Sidings|XCX|470214|ALSTONS|68077|f|f|f|||
230|Alston (Townhead)|ALS||||t|f|f|||
231|Althorne|ALN|686900|ALTHORN|50305|t|f|f||590524|197929
232|Althorpe|ALP|653200|ALTPE|22075|t|f|f||484000|410600
233|Althorpe Keadby Canal||652600|ALTPKC|22085|f|f|f|||
234|Altnabreac|ABC|860600|ALTNBRC|1010|t|f|f||300340|945680
235|Altnabreac Civil Engineernulls Sidings||860660|ALTNCCE|1011|f|f|f|||
236|Altofts||836300|ALTFTS||f|f|f|||
237|Altofts Junction||836311|ALTFTJN|17196|f|f|f|||
238|Alton|AON|554400|ALTON|87021|t|f|f||472352|139697
239|Alton High Street (by Bus)||554402|ALTOBUS||f|f|f|||
240|Alton Mid-Hants Railway||||87023|f|f|f|||
241|Alton Towers|ATW|126900|ALTT||t|f|f|||
242|Altrincham|ALT|280600|ALTRNHM|37225|t|f|f||377026|387931
243|Altrincham Metrolink|XNA|280620|ALTRMET||f|f|f|||
244|Alum Bay|||ALUMBAY||f|f|f|||
245|Alvechurch|ALV|119800|ALVCHRC|66527|t|f|f||402300|272000
246|Alvechurch Red Lion Pub|ARP|094200|ALVCRLP||t|f|f|||
247|Alves Junction||860700|ALVES|2004|f|f|f|||
248|Ambergate|AMB|167800|AMBERGT|57013|t|f|f||434900|351600
249|Ambergate Chief Civil Engineernulls Sidings||||57101|f|f|f|||
250|Ambergate Junction|XAJ|167801|AMBERGJ|57110|f|f|f|||
251|Ambergate Wingfield||167803|AMBEWIN|57001|f|f|f|||
252|Amberieu (France)||080667|AMBRIEU|780|f|f|f|||
253|Amberley|AMY|525000|AMLY|87957|t|f|f||502632|111812
254|Amersham|AMR|050600|AMERSHM|70361|t|f|f||496379|198188
255|Amersham Mantles Wood||050601|AMERMWD|70362|f|f|f|||
256|Amiens|AMI|081800|AMIENS||t|f|f|||
257|Amington Junction|XIM|132350|AMNGTNJ|69003|f|f|f|||
258|Amington Junction Signal NL1294||132355|AMNG294|68996|f|f|f|||
259|Amington Junction Signal NL3487||132352|AMNG487|68999|f|f|f|||
260|Amington Junction Signal NL3490||132351|AMNG490|69002|f|f|f|||
261|Amington Junction Signal NL9459||132354|AMNG459|68997|f|f|f|||
262|Amington Junction Signal NL9462||132353|AMNG462|68998|f|f|f|||
263|Amlwch|AMW|247000|AMLWCH|40022|t|f|f|||
264|Amlwch Associated Octel Siding||247011|AMLWOCT|40021|f|f|f|||
265|Ammanford|AMF|423600|AMMANFD|79064|t|f|f||262400|212700
266|Ampfield School|AMD|394000|AMPFLD||t|f|f|||
267|Ampress Halt||588800|||f|f|f|||
268|Ampthill Tunnels||153202|AMPTNLS|62200|f|f|f|||
269|Amsterdam Centraal Station|AMS|081500|AMSTDAM|950|t|f|f|||
270|Amsterdam Schiphol||081702|AMSTSCH|937|f|f|f|||
271|Ancaster|ANC|635800|ANCASTR|44101|t|f|f||498400|344400
272|Ancaster Honington||635805|ANCAHON|44102|f|f|f|||
273|Anderston|AND|996500|ANDRSTN|7253|t|f|f||257900|665300
274|Andover|ADV|551000|ANDOVER|86074|t|f|f||435565|145938
275|Andover Kemira Sidings||551112|ANDOKMR|86073|f|f|f|||
276|Andover Ludgershall Branch Stop Board||551003|ANDOLSB|86133|f|f|f|||
277|Andover Shunt Signal BE5202||551002|ANDO202|86054|f|f|f|||
278|Andover Signal 8||551001|ANDO8|86072|f|f|f|||
279|Andover Yard||551001|ANDOYD|86072|f|f|f|||
280|Anerley|ANY|539700|ANERLEY|87644|t|f|f|original code||
281|Angel LT|ZAN|050700|||t|f|f|||
282|Angel Road|AGR|690900|ANGELRD|51924|t|f|f||535200|192200
283|Angerstein Junction||520660|ANGRSTJ|88510|f|f|f|||
284|Angerstein Wharf|ANW|520600|ANGRSTW|88501|t|f|f|||
285|Angerstein Wharf Bardon||520616|BRONLPT|88506|f|f|f|||
286|Angerstein Wharf English Welsh & Scottish Railway Carriage & Wagon||||88502|f|f|f|||
287|Angerstein Wharf Freightliner Heavy Haul||520601|ANGRFHH|88507|f|f|f|||
288|Angerstein Wharf Marcon||520621|ANGRMAR|88505|f|f|f|||
289|Angerstein Wharf Tarmac||520617|ANGRTAR|88502|f|f|f|||
290|Anglesea Sidings|||ANGLSDG|65331|f|f|f|||
291|Anglia||||10000|f|f|f|||
292|Angmering|ANG|526700|ANGMRNG|87998|t|f|f||506513|102979
293|Angouleme||874101|ANGOLEM||f|f|f|||
294|Annan|ANN|945100|ANNAN|9033|t|f|f||319300|566200
295|Annan Down Refuge Siding||945102|ANNADRS|9032|f|f|f|||
296|Annat||882460|ANAT|6011|f|f|f|||
297|Annbank||944700|ANNBANK|8606|f|f|f|||
298|Anniesland|ANL|997200|ANSL|6222|t|f|f||254900|668700
299|Ansdell & Fairhaven|AFV|266200|ANSDELL|30037|t|f|f||334601|427689
300|Ansty Cross Roads||579863|ANSTYXR||f|f|f|||
301|Antrim|ANM|031500|||t|f|f|||
302|Apperley Junction||856212|APERLYJ|17053|f|f|f|||
303|Appleby|APP|205200|APBY|9426|t|f|f||368640|520680
304|Appleby North East Sidings||205205|APBYNE|9427|f|f|f|||
305|Appledore (Kent)|APD|500300|APDR|89432|t|f|f||597566|129760
306|Appleford|APF|310900|APPLEFD|74340|t|f|f||452542|193698
307|Appleford Level Crossing||310961|APPLEFX|74340|f|f|f|||
308|Appleford Sidings|AFI|310911|APPLEFS|74341|t|f|f|||
309|Appleford Sidings Advenza Freight||310902|APPLADV|74339|f|f|f|||
310|Appleford Sidings Freightliner Heavy Haul||310901|APPLFHH|74342|f|f|f|||
311|Applehurst Junction||652313|APLHRSJ|23102|f|f|f|||
312|Appley Bridge|APB|239600|APLYBDG|35050|t|f|f||352475|409360
313|Appley Bridge Wimpey||239617|APLYBGW|35051|f|f|f|||
314|Apsley|APS|143000|APSLEY|71023|t|f|f||506245|204874
315|Arbroath|ARB|907900|ARBROTH|3023|t|f|f||363900|741000
316|Arbroath Crossover||907910|ARBRCVR|3026|f|f|f|||
317|Arbroath Dens Siding||||3024|f|f|f|||
318|Arbroath Down Sidings||||3025|f|f|f|||
319|Arbroath Up Relief Siding||907957|ARBRURS|3024|f|f|f|||
320|Archcliffe Junction||501282|ARCLJN|89603|f|f|f|||
321|Archway LT|ZAR|050800|||t|f|f|||
322|Ardgay|ARD|861300|ARDGAY|1041|t|f|f||260030|890446
323|Ardgay Civil Engineernulls Sidings||861361|ARDGAYC|1042|f|f|f|||
324|Ardingly|ARY|532100|ARDNGLY|87965|t|f|f|||
325|Ardingly Hanson||532101|ARDNFHH|87964|f|f|f|||
326|Ardleigh||685670|ARDEGH|49295|f|f|f|||
327|Ardlui|AUI|996200|ARDLUI|6059|t|f|f||231700|715500
328|Ardlui Civil Engineer||996260|ARDLUCE|6060|f|f|f|||
329|Ardrahan [Ireland]|XAG|031210|CATZ||f|f|f|||
330|Ardrossan Electric Multiple Unit Sidings|XAT|945574|ARDRSDS|8200|f|f|f|||
331|Ardrossan Harbour|ADS|945300|ARDRSHB|8208|t|f|f||222540|642090
332|Ardrossan South Beach|ASB|956900|ARDRSSB|8198|t|f|f||223799|642211
333|Ardrossan Stations||0423|||f|f|f|||
334|Ardrossan Town|ADN|945500|ARDRSTN|8204|t|f|f||223070|642050
335|Ardwick|ADK|296000|ARDWICK|32045|t|f|f||385900|397200
336|Ardwick East Junction||278300|ARDWKEJ|32009|f|f|f|||
337|Ardwick East Yard||278301|ARDWKEY|32050|f|f|f|||
338|Ardwick Junction||296001|ARDWCKJ|32009|f|f|f|||
339|Ardwick No 3 Traffic Sidings|||ARDW3TS||f|f|f|||
340|Ardwick Traction Maintenance Depot|XRK|296002|ARDWTMD|32043|f|f|f|||
341|Ardwick Yard|||ARDWCKY||f|f|f|||
342|Argyle Street|AGS|996100|ARGYLST|7259|t|f|f||259220|664970
343|Arisaig|ARG|882100|ARISAIG|6004|t|f|f||166400|786700
344|Arisaig Civil Engineer||882160|ARISCE|6003|f|f|f|||
345|Arkleston East||968376|ARKLSTE|7149|f|f|f|||
346|Arkleston Junction||968377|ARKLSTJ|7147|f|f|f|||
347|Arkleston West||968375|ARKLSTW|7148|f|f|f|||
348|Arklow|ARW|048000|ARKW||t|f|f|||
349|Arksey Loop||641412|ARKSEYL|23225|f|f|f|||
350|Arlesey|ARL|617100|ARLSEY|53201|t|f|t||519045|237820
351|Arlesey Cadwell||617105|ARLSCAD|53205|f|f|f|||
352|Arley||192264|ARLEY|66195|f|f|f|||
353|Arlon||081403|ARLON|865|f|f|f|||
354|Armadale|ARM|099000|ARMDALE|7324|t|f|f||294050|667140
355|Armadale via Mallaig Ship|ARA|906700|ARMADLE||t|f|f|||
356|Armathwaite|AWT|205400|ARMTHWT|9415|t|f|f||350475|546340
357|Armitage Junction||129101|ARMITAG|43335|f|f|f|||
358|Armley Junction||673305|ARMLJCN|17136|f|f|f|||
359|Arnhem|ARM||||t|f|f||294050|667140
360|Arnos Grove LT|ZAG|050900|||t|f|f|||
361|Arnside|ARN|196300|ARNSIDE|11403|t|f|f||346070|478870
362|Arpley Colas||||35534|f|f|f|||
363|Arpley CTT Forwardings||||35548|f|f|f|||
364|Arpley Depot Marcroft||||35549|f|f|f|||
365|Arpley Fuelling Apron||238310|ARPLYFA|35546|f|f|f|||
366|Arpley (Hole)||221063|ARPLHOL|35549|f|f|f|||
367|Arpley Junction||238300|ARPLEYJ|35533|f|f|f|||
368|Arpley Sidings||238302|ARPLEYS|35550|f|f|f|||
369|Arpley Sidings Head Shunt||238301|ARPLSHS|35550|f|f|f|||
370|Arpley [unknown feature]||||35532|f|f|f|||
371|Arram|ARR|804500|ARRAM|19019|t|f|f||503500|444300
372|Arras (France)||080654|ARAS|743|f|f|f|||
373|Arrochar & Tarbet|ART|996300|ARCHRAT|6101|t|f|f||231200|704600
374|Arrochar & Tarbet Civil Engineer||996305|ARCHRCE|6102|f|f|f|||
375|Arrochar & Tarbet Up Refuge Siding AMEC||996310|ARCHAME|6107|f|f|f|||
376|Arsenal LT|ZAS|051000|||t|f|f|||
377|Arundel|ARU|525100|ARUNDEL|87958|t|f|f||502444|106417
378|Arundel Junction|XXA|526067|ARUNDLJ|87959|f|f|f|||
379|Arundel London Road|ARZ|094800|ARUNLRD||t|f|f|||
380|Arundel [unknown feature, labelled "do not use"]||525101|ARUN999||f|f|f|||
381|Ascot|ACT|566600|ASCOT|87103|t|f|f||492200|168300
382|Ascot Down Siding||566606|ASCODS|87096|f|f|f|||
383|Ascot Signal F501||566605|ASCO501|87098|f|f|f|||
384|Ascot Signal F504||566607|ASCO504|87095|f|f|f|||
385|Ascot Signal F506||566608|ASCO506|87092|f|f|f|||
386|Ascott-Under-Wychwood|AUW|300300|ASCTUWD|74463|t|f|f||430114|218841
