# Location database data run 2014 Oct 7
# =====================================================================================================================
# On tethys:
#
# \f |
# \a
# select l.*,n.easting,n.northing from location_data l left outer join naptan n on l.crs=n.crscode order by location;
# =====================================================================================================================
id|location|crs|nlc|tiploc|stanox|station|delay_monitor_point|data|notes|easting|northing
8120|Newport Sims Metals Advenza||367501|NWPTDSA|76453|f|f|f|||
8121|Newport [unknown feature]||||76410|f|f|f|||
8122|New Pudsey|NPD|850600|NPUD|18651|t|f|f||421120|434290
8123|Newquay|NQY|352300|NEWQUAY|85261|t|f|f||181590|61770
8124|New Quay (Dyfed)|NQC|038700|||t|f|f|||
8125|New Romney|||NROMNEY||f|f|f|||
8126|Newry|NWY|033000|||t|f|f|||
8127|Newsham Bates Staithes||766800|NSHMBS|12243|f|f|f|||
8128|Newsham Level Crossing||766801|NSHMLC|12247|f|f|f|||
8129|Newsham Seghill North||766805|NSHMSEG|12251|f|f|f|||
8130|New Southgate|NSG|601900|NEWSGAT|54031|t|f|t||528670|192220
8131|New Southgate Loop|||NEWSGTL||f|f|f|||
8132|Newstead|NSD|186300|NWSTEAD|55095|t|f|f||452240|352810
8133|Newstead Loop||186301|NWSTLP|55096|f|f|f|||
8134|Newton Abbot|NTA|342600|NABT|83624|t|f|f||286752|71200
8135|Newton Abbot Freight Depot||||83621|f|f|f|||
8136|Newton Abbot Hackney Yard||342659|NABTHAC|83612|f|f|f|||
8137|Newton Abbot Hackney Yard Freightliner Heavy Haul||342658|NABTHAK|83613|f|f|f|||
8138|Newton Abbot Watts Blake Bearne||||83623|f|f|f|||
8139|Newton Abbot West Junction||342607|NABTWJ|83625|f|f|f|||
8140|Newton Aycliffe|NAY|783400|NWTA|15833|t|f|f||426600|524360
8141|Newtondale|||NNTD||f|f|f|||
8142|Newton for Hyde|NWN|278900|NWTH|32224|t|f|f||395639|395516
8143|Newton Heath Fuel Siding||||31299|f|f|f|||
8144|Newton Heath Holding Sidings|||NWTNHHS||f|f|f|||
8145|Newton Heath Junction||297504|NWTNHJ|31300|f|f|f|||
8146|Newton Heath Signal MN714||297575|NWTN714||f|f|f|||
8147|Newton Heath Signal MN717||297572|NWTN717||f|f|f|||
8148|Newton Heath Signal MN902||297573|NWTN902||f|f|f|||
8149|Newton Heath Traction Maintenance Depot|XNN|297570|NWTNHDD|31300|f|f|f|||
8150|Newton Heath Works|||NWTNHWS||f|f|f|||
8151|Newtonhill|NWH|896467|NWHL|2111|t|f|f|||
8152|Newtonhill Down Refuge Siding||896469|NWHLDRS|2112|f|f|f|||
8153|Newtonhill Up Refuge Siding||896471|NWHLURS|2111|f|f|f|||
8154|Newton Junction (Ayrshire)||946398|NWTOAJN|8609|f|f|f|||
8155|Newton Junction (West Midlands)||100304|NEWTNJ|65675|f|f|f|||
8156|Newton (Lanarks)|NTN|977400|NWTL|7416|t|f|f||266450|660450
8157|Newton (Lanarks) South Connecting Line||977444|NWTLSCL|7416|f|f|f|||
8158|Newton (Lanarks) West Junction||977405|NWTLWJ||f|f|f|||
8159|Newton-Le-Willows|NLW|225700|NWTNLW|35321|t|f|f||359350|395320
8160|Newton-Le-Willows Sidings||||35322|f|f|f|||
8161|Newtonmore|NWR|866800|NWTM|1151|t|f|f||271580|798450
8162|Newton-On-Ayr|NOA|957100|NWTOA|8605|t|f|f||234130|623160
8163|Newton South Connecting Line||977444|NWTLSCL|7418|f|f|f|||
8164|Newton Station Site|||OLDFNEW||f|f|f|||
8165|Newton St Cyres|NTC|582800|NSTCYRE|83322|t|f|f||288040|98910
8166|Newton Turnback Siding||977450|NWTKSDG|7417|f|f|f|||
8167|Newton West Junction||977405|NWTLWJ|7413|f|f|f|||
8168|Newtown|NWT|442600|NWTP|64307|t|f|f||311100|291300
8169|Newtown Doughtnulls Level Crossing||442602|NEWTDOU|64309|f|f|f|||
8170|Newtown West|||NWTW||f|f|f|||
8171|Niddrie North Junction||935759|NIDRINJ|4651|f|f|f|||
8172|Niddrie South Junction||935761|NIDRISJ|4655|f|f|f|||
8173|Niddrie West Junction||935760|NIDRIWJ|4657|f|f|f|||
8174|Nijmegen|NJM||||t|f|f|||
8175|Nimes|FNI|873800|NIMES|786|t|f|f|||
8176|Nine Elms Junction||559611|NINELMJ|87215|f|f|f|||
8177|Ninian Park|NNP|389500|NINIANP|78511|t|f|f||316640|175980
8178|Nitshill|NIT|960900|NITSH|7225|t|f|f||252210|660150
8179|Noisy-Le-Sec CMT||080662|NOISLSC|754|f|f|f|||
8180|Norbiton|NBT|556800|NRBITON|87163|t|f|f||519435|169545
8181|Norbury|NRB|542800|NORBURY|87633|t|f|f||530710|169720
8182|Normans Bay|NSB|546000|NRMNSBY|88272|t|f|f||568385|105672
8183|Normanton|NOR|852800|NORMNTN|18041|t|f|f||438165|422830
8184|Normanton Wakefield Europort||852802|NORMPW|17197|f|f|f|||
8185|Normanton Wakefield Europort Carriage & Wagon Railfreight Distribution||852804|NORMCW|17198|f|f|f|||
8186|Normanton Wakefield Europort Freightliner||852808|NORMFLT|17201|f|f|f|||
8187|Normanton Wakefield Europort GB Railfreight||852810|NORMGBF|17202|f|f|f|||
8188|Normanton Wakefield Euroterminal Ground Frame||852806|NORMGF|17199|f|f|f|||
8189|North Acton||||73299|f|f|f|||
8190|North Acton LT|ZNA|065300|NACTON||t|f|f|||
8191|Northallerton|NTR|799600|NLRTN|15883|t|f|f||436430|493200
8192|Northallerton Castle Hills Loop||799615|NLRTNCH|15884|f|f|f|||
8193|Northallerton Danby Wiske||787705|NLRTDBW|15875|f|f|f|||
8194|Northallerton East Junction||799621|NLRTEJN|15880|f|f|f|||
8195|Northallerton Reversing Line||799605|NLRTREV|15878|f|f|f|||
8196|Northallerton Wensleydale Railway||886100|NLRTWDR|15901|f|f|f|||
8197|Northam Carriage Servicing Depot|XFS|591762|NTHMDEP|86508|f|f|f|||
8198|Northam Depot Reception Line||591763|NTHMRCL|86507|f|f|f|||
8199|Northam Junction||591760|NTHMJN|86513|f|f|f|||
8200|Northam Mulfords Cement Sdgs R.P.C|||NTHMRPC||f|f|f|||
8202|Northampton|NMP|106900|NMPTN|70100|t|f|f||474759|260486
8203|Northampton Bay||106915|NMPTBAY|70100|f|f|f|||
8204|Northampton Brackmills||||70134|f|f|f|||
8205|Northampton Bridge Street|||NMPTBRS||f|f|f|||
8206|Northampton Bridge Street Civil Engineernulls Sidings||106800|NMPTBST|70111|f|f|f|||
8207|Northampton Carriage Holding Sidings|||NMPTNCS||f|f|f|||
8208|Northampton Carriage Maintenance Depot||106811|NMPTCMD|70112|f|f|f|||
8209|Northampton Castle Yard|NCY|106904|NMPTNCY|70102|t|f|f|||
8210|Northampton Down Goods Loop (formerly Northampton No 4)||106015|NMPTNN4|70107|f|f|f|||
8211|Northampton Electric Maintenance Depot|XND|106918|NMPTEMD|70099|f|f|f|||
8212|Northampton English Welsh & Scottish Railway Carriage & Wagon||||70106|f|f|f|||
8213|Northampton Far Cotton Farthingstone||||70123|f|f|f|||
8214|Northampton Far Cotton Hammer Steel||||70133|f|f|f|||
8215|Northampton Hunsbury Hill Tunnel||106917|NMPTHHT|70120|f|f|f|||
8216|Northampton Mill Lane Junction||106916|NMPTMLJ|70097|f|f|f|||
8217|Northampton North Junction||106906|NMPTNNJ|70103|f|f|f|||
8218|Northampton River Sidings|XRS|106001|NMPTNRS|70101|f|f|f|||
8219|Northampton Signal RY1216||106920|NMPT216|70114|f|f|f|||
8220|Northampton Signal RY1218||106919|NMPT218|70113|f|f|f|||
8221|Northampton South Junction||106907|NMPTNSJ|70105|f|f|f|||
8222|Northampton Terminal Complex||106000|NMPTNTC|70104|f|f|f|||
8223|Northampton Terminal Complex Up Sidings||106002|NMPTNUS|70104|f|f|f|||
8224|Northampton Up Reception||106005|NMPTUR|70108|f|f|f|||
8201|Northam Square|||NTSQ||f|f|f|||
8225|Northam Up Yard||591500|NTHMUY|86503|f|f|f|||
8226|Northam Yard Cement Siding|||NTHMCSD||f|f|f|||
8227|Northam Yard Signal E842|NTS|591761|NTHM842|86511|t|f|f|||
8228|North Berwick|NBW|935800|NBERWCK|4824|t|f|f||354590|685150
8229|North Blyth Alcan|NBL|766922|NBLYACN|12221|t|f|f|||
8230|North Blyth Alcan GB Railfreight||766925|NBLYAGB|12226|f|f|f|||
8231|North Blyth English Welsh & Scottish Railway||766921|NBLYEWS|12222|f|f|f|||
8232|North Blyth Freightliner Heavy Haul||766920|NBLYFHH|12220|f|f|f|||
8233|North Blyth GB Railfreight||766924|NBLYGBF|12225|f|f|f|||
8234|North Blyth Loop||766923|NBLYLP|12223|f|f|f|||
8235|North Blyth [unknown feature]||||94500|f|f|f|||
8236|North Camp|NCM|563600|NTHCAMP|87012|t|f|f||488600|153725
8237|North Camp Oil Siding||563614|NTHCOSD|87011|f|f|f|||
8238|North Dulwich|NDL|542900|NDULWCH|87608|t|f|f||532950|174570
8239|North Ealing LT|ZNE|065400|||t|f|f|||
8240|North East||||2000|f|f|f|||
8241|North Elmham||737700|NELMHAM||f|f|f|||
8242|Northenden Blue Circle||285211|NTHNDBC|32401|f|f|f|||
8243|Northenden Ground Frame||285204|NTHNDGF||f|f|f|||
8244|Northenden Junction||285201|NTHNDNJ|32400|f|f|f|||
8245|Northenden LaFarge Freightliner Heavy Haul||285210|NTHNDFL|32402|f|f|f|||
8246|Northenden Refuse Transfer Station||285212|NTHNRTS|32399|f|f|f|||
8247|Northenden Refuse Transfer Station Freightliner Heavy Haul||285209|NTHNFHH|32403|f|f|f|||
8248|Northenden Sharston Junction||285203|NTHNSHJ|32398|f|f|f|||
8249|Northenden Signal NJ8||285205|NTHNDJ8|32396|f|f|f|||
8250|Northfield|NFD|111100|NRTF|66513|t|f|f||402420|278910
8251|Northfields LT|ZNF|065500|||t|f|f|||
8252|Northfleet|NFL|512000|NRTHFLT|88709|t|f|f||561621|174435
8253|Northfleet Blue Circle Industries||512019|NRTHBCI|88712|f|f|f|||
8254|Northfleet Coopers Arms||512010|NRTHCA||f|f|f|||
8255|North Greenwich LT|NGR|078900|||t|f|f|||
8256|North Harrow LT|ZNH|065600|||t|f|f|||
8257|North Kelsey||640613|NKELSEY||f|f|f|||
8258|North Kent East Junction|XKE|515064|NKENTEJ|88409|f|t|t|||
8259|North Lincoln Junction||645618|NLNCLNJ|22015|f|f|f|||
8260|North Llanrwst|NLR|245500|NLANRST|40060|t|f|f||279520|362260
8261|Northolt Junction|||NTHOLTJ||f|f|f|||
8262|Northolt Junction||147805|NTHOJN|73417|f|f|f|||
8263|Northolt Junction English Welsh & Scottish Railway||||73418|f|f|f|||
8264|Northolt LT|ZNO|065700|||t|f|f|||
8265|Northolt Park|NLT|147800|NTHOLTP|63003|t|f|f||513827|185570
8266|Northolt Park Junction||147801|NTHOPKJ|62999|f|f|f|||
8267|Northolt Sidings|NOS|147811|NTHOLTS|73416|t|f|f|||
8268|Northorpe Signal Box||646200|NTHPSB|26006|f|f|f|||
8269|North Pole International Depot|XNP|512704|NPLEINT|72239|f|f|f|||
8270|North Pole Junction|NPJ|145734|NPOLEJ|72238|t|f|f|||
8271|North Pole Signal VC813||512705|NPLE813|72238|f|f|f|||
8272|North Pole Signal VC816||512708|NPLE816|72238|f|f|f|||
8273|North Pole Signal VC818||512706|NPLE818|72238|f|f|f|||
8274|North Pole Signal VC820||512707|NPLE820|72239|f|f|f|||
8275|North Pole Turnback Siding||512709|NPLETB|72244|f|f|f|||
8276|North Queensferry|NQU|918900|NQNSFRY|3338|t|f|f||313150|680830
8277|North Road (Darlington)|NRD|789500|NTRD|15846|t|f|f||428960|515750
8278|North Road (Darlington) Hopetown Signalling & Telecommunications Engineernulls Sidings||788020|NTRDST|15848|f|f|f|||
8279|North Road (Darlington) Hopetown UKF||||15845|f|f|f|||
8280|North Sheen|NSH|560100|NSHEEN|87137|t|f|f||519030|175410
8281|North Somerset Junction|NOJ|322461|NSMRSTJ|81606|t|f|f|||
8282|North Stafford Junction||182305|NSJDRBY|57459|f|f|f|||
8283|North Tawton||872425|NTAWTN|83313|f|f|f|||
8284|Northumberland Park|NUM|697100|NMBRLPK|51929|t|f|f||534875|191030
8285|North Walsham|NWA|730800|NWALSHM|48013|t|f|f||628160|329740
8286|North Walsham GB Railfreight||730813|NWALBPL|48015|f|f|f|||
8287|North Walsham Shell UK||730812|NWALSHL|48014|f|f|f|||
8288|North Walsham Signal TB21||730801|NWAL21||f|f|f|||
8289|North Walsham Stone Sidings||730814|NWALSSG|48012|f|f|f|||
8290|North Weald LT|ZNW|065800|||t|f|f|||
8291|North Wembley|NWB|142200|NWEMBLY|72010|t|f|f||517660|186220
8292|North Wembley BOC Siding||142212|NWEMBOC|72011|f|f|f|||
8293|North Wembley Junction|NWJ|142303|NWEMJN|72013|t|f|f|||
8294|North West||||3000|f|f|f|||
8295|Northwich|NWI|232600|NTHWICH|37129|t|f|f||366950|373943
8296|Northwich Carriage Servicing Depot|||NTHWCSD||f|f|f|||
8297|Northwich Civil Engineernulls Sidings||||37201|f|f|f|||
8298|Northwich East Junction||232608|NTHWCEJ|37127|f|f|f|||
8299|Northwich Lostock Works||232612|NTHWLW|37133|f|f|f|||
8300|Northwich Oakleigh Sidings||232602|NTHWOS|37122|f|f|f|||
8301|Northwich Oakleigh Sidings Freightliner Heavy Haul||232604|NTHWFHH|37119|f|f|f|||
8302|Northwich Oakleigh Sidings Vale Royal||232601|NTHWOVR|37120|f|f|f|||
8303|Northwich Sidings||||37204|f|f|f|||
8304|Northwich South Junction||232603|NTHWCSJ|37125|f|f|f|||
8305|Northwich Terminal Complex||232607|NTHWCSG|37130|f|f|f|||
8306|Northwich Wade Works||||37131|f|f|f|||
8307|Northwich West Junction||232606|NTHWCWJ|37126|f|f|f|||
8308|Northwick Park LT|ZNK|066000|||t|f|f|||
8309|Northwood Hills LT|ZNS|066200|||t|f|f|||
8310|Northwood LT|ZND|192265|NTWD||t|f|f|||
8311|North Woolwich|NWW|692900|NWOLWCH|52270|t|f|f|||
8312|Norton Bridge|NTB|135600|NTNB|42312|t|f|f||387270|329930
8313|Norton Bridge Ballast Siding||||42331|f|f|f|||
8314|Norton Bridge Great Bridgeford||135604|NTNBGB|42313|f|f|f|||
8315|Norton Bridge Standon Bridge||135603|NTNBSB|42310|f|f|f|||
8316|Norton Bridge Station Drive|NBS|985800|NTNBSD||t|f|f|||
8317|Norton East Junction||797512|NORTONE|15033|f|f|f|||
8318|Norton Fitzwarren|NFZ|346500|NTNFTZN|83011|t|f|f|||
8319|Norton Junction||489180|NRTNJN|67127|f|f|f|||
8320|Norton Junction||||65401|f|f|f|||
8321|Norton South Junction||797513|NORTONS|15032|f|f|f|||
8322|Norton West Junction||797514|NORTONW|15035|f|f|f|||
8323|Norwich|NRW|730900|NRCH|48231|t|f|f||623900|308400
8324|Norwich CEGB||730912|NRCHCEG|48223|f|f|f|||
8325|Norwich Charrington||||48237|f|f|f|||
8326|Norwich Crown Point Fuelling Road||||48224|f|f|f|||
8327|Norwich Crown Point Signal CO1762||730970|NRCH176||f|f|f|||
8328|Norwich Crown Point Signal CP1471||730969|NRCH141|48222|f|f|f|||
8329|Norwich Crown Point Signal CP1498||730926|NRCH149|48222|f|f|f|||
8330|Norwich Crown Point Traction & Rolling Stock Maintenance Depot|XNC|730925|NRCHTMD|48221|f|f|f|||
8331|Norwich English Welsh & Scottish Railway Carriage & Wagon||||48234|f|f|f|||
8332|Norwich GB Railfreight||730923|NRCHGBF|48220|f|f|f|||
8333|Norwich Power Station||||48223|f|f|f|||
8335|Norwich Railfreight Distribution/Terminal Complex||731500|NRCHTC|48230|f|f|f|||
8334|Norwich Station Carriage Servicing Depot|XNY|730921|NRCHCSD|48232|f|f|f|||
8336|Norwich Thorpe Civil Engineernulls Sidings||730937|NRCHTHP|48228|f|f|f|||
8337|Norwich Thorpe Junction||730915|NRCHTPJ|48236|f|f|f|||
8338|Norwich [unknown feature]||||48950|f|f|f|||
8339|Norwich Victoria||731200|NRCHVIC|48313|f|f|f|||
8340|Norwood Booking On Point||530210|NORWBOP|87640|f|f|t|||
8341|Norwood Down Sorting Sidings||530211|NORWDDY|87641|f|f|f|||
8342|Norwood Fork Junction|NFJ|530266|NORWDFJ|87640|t|f|t|||
8343|Norwood Junction|NWD|537600|NORWDJ|87643|t|t|t||534000|168200
8344|Norwood Junction||774420|NRWDJN|13526|f|f|f|||
8345|Nottingham|NOT|182600|NTNG|55247|t|f|f||457455|339195
8346|Nottingham (Anglia Area)||||56570|f|f|f|||
8347|Nottingham Eastcroft Carriage Sidings|XNT|182603|NTNGMCS|55248|f|f|f|||
8348|Nottingham East Junction||182602|NTNGMEJ|55243|f|f|f|||
8349|Nottingham Freightliner Terminal|||NTNGMFT||f|f|f|||
8350|Nottingham Goods Yard|||NTNGMGY||f|f|f|||
8351|Nottingham Holding Sidings||182611|NTNGMHS|55246|f|f|f|||
8352|Nottingham Mansfield Junction |NMJ|182614|NTNGMJN|55221|t|f|f|||
8353|Nottingham Parcels Sidings||182604|NTNGPCS|55249|f|f|f|||
8354|Nottingham Sneinton Level Crossing||182608|NTNGSLC|55252|f|f|f|||
8355|Nottingham [unknown features]||||55950|f|f|f|||
8356|Nottingham Wilford Road Up Goods Loop|||NTNGWR||f|f|f|||
8357|Nottingham Woollaton||176306|NTNGWOL|56552|f|f|f|||
8358|Notting Hill Gate LT|ZNG|066300|||t|f|f|||
8359|Novara||087206|NOVARA|328|f|f|f|||
8360|Nuneaton|NUN|107700|NNTN|69021|t|f|f||436470|292190
8361|Nuneaton Abbey Junction||107708|NNTNABJ|66190|f|f|f|||
8362|Nuneaton Ashby Junction||107715|NNTNASJ|69013|f|f|f|||
8363|Nuneaton Cemetery Sidings||107706|NNTNVTC|69016|f|f|f|||
8364|Nuneaton Chilvers Coton Junction||107716|NNTNCHC|69101|f|f|f|||
8365|Nuneaton Civil Engineers||107709|NNTNCVE|69022|f|f|f|||
8366|Nuneaton Holding Sidings/nullAnull Sidings||107702|NNTNHS|69019|f|f|f|||
8367|Nuneaton Midland Junction||107703|NNTNMID|69015|f|f|f|||
8368|Nuneaton Signal 511||107707|NNTN511|69017|f|f|f|||
8369|Nuneaton Signal NL1266||107724|NNTN266|69005|f|f|f|||
8370|Nuneaton Signal NL3427||107718|NNTN427|69012|f|f|f|||
8371|Nuneaton Signal NL3446||107717|NNTN46|69011|f|f|f|||
8372|Nuneaton Signal NL9550||107722|NNTN550|69008|f|f|f|||
8373|Nuneaton Signal NW4223||107720|NNTN223|69026|f|f|f|||
8374|Nuneaton Signal NW4226||107728|NNTN226|69029|f|f|f|||
8375|Nuneaton Signal NW4242||107725|NNTN2424|69004|f|f|f|||
8376|Nuneaton Signal RN9539||107723|NNTN539|69006|f|f|f|||
8377|Nuneaton Signal WN1261||107721|NNTN261|69028|f|f|f|||
8378|Nuneaton Signal WN4205||107719|NNTN205|69014|f|f|f|||
8379|Nuneaton South Junction||107714|NNTNSHJ|69018|f|f|f|||
8380|Nuneaton Up Goods Loop|||NNTNUGL||f|f|f|||
8381|Nunhead|NHD|506800|NUNHEAD|88413|t|t|t||535390|176005
8382|Nunhead Junction||506861|NUNHEDJ|88413|f|t|t|||
8383|Nunnery Main Line Junction||667813|NNRYMLJ|25635|f|f|f|||
8384|Nunthorpe|NNT|794600|NUNTHRP|15501|t|f|f||453850|515050
8385|Nutbourne|NUT|526200|NUTBORN|86363|t|f|f||478740|105766
8386|Nutbourne A259||526250|NUTBBUS||f|f|f|||
8387|Nutfield|NUF|547600|NUTFILD|87731|t|f|f||530495|149170
8388|Nutfield Memorial Hall|XET|547650|NUTFBUS||f|f|f|||
8389|OAGB Junction|||OAGBJ||f|f|f|||
8390|Oakengates|OKN|468900|OAKNGTS|64822|t|f|f||369670|310730
8391|Oakengates Ground Frame|||OAKNGF||f|f|f|||
8392|Oakenshaw Junction||839513|OKNSHWJ|18053|f|f|f|||
8393|Oakenshaw South Junction||839511|OKNSHSJ|18082|f|f|f|||
8394|Oakham|OKM|190400|OAKHAM|59135|t|f|f||485690|309030
8395|Oakham Ashwell Level Crossing||190405|OAKHASH|59131|f|f|f|||
8396|Oakham Up Goods Loop|||OAKHUGL|59137|f|f|f|||
8397|Oakham Up Siding|||OAKHUS||f|f|f|||
8398|Oakleigh Park|OKL|602000|OKLGHPK|54021|t|f|t||527000|194800
8399|Oakwood LT|ZOA|066400|||t|f|f|||
8400|Oakwood Theme Park|OTP|225200|||t|f|f|||
8401|Oakworth|||OAKWRTH||f|f|f|||
8402|Oban|OBN|872500|OBAN|6041|t|f|f||185795|729888
8403|Oban Esso||||6042|f|f|f|||
8404|Oban Ground Frame||872569|OBANGF|6040|f|f|f|||
8405|Ocean-TM Junction|||OCMTMJ||f|f|f|||
8406|Ockendon|OCK|745100|OCKENDN|51309|t|f|f||559003|182828
8407|Ocker Hill Power Station||||65712|f|f|f|||
8408|Ockley|OLY|531000|OCKLYAC|87938|t|f|f||516477|140455
8409|Offord||610900|OFORD|45305|f|f|f|||
8410|Offord Superior Int||610912|OFORDSI|45302|f|f|f|||
8411|Ogmore Vale Central Washry|||OGMOREV||f|f|f|||
8412|Oignies||||762|f|f|f|||
8413|Okehampton|OKE|578600|OKHMPTN|83311|t|f|f||259220|94430
8414|Okehampton Fore Street||578665|OKHMPFS||f|f|f|||
8415|Okehampton Going Places|XCG|578610|OKHMGOP||f|f|f|||
8416|Okehampton Market Street||578611|OKHMPMP||f|f|f|||
8417|Okehampton West Street||578612|OKHMPWS||f|f|f|||
8418|Oldbury Albright & Wilson||||65913|f|f|f|||
8419|Old Castle Crossing|||OLDCSTX||f|f|f|||
8420|Old Dalby||163300|OLDDALB|59101|f|f|f|||
8421|Old Dalby Edwalton||163303|OLDDEDW|59102|f|f|f|||
8422|Oldfield Grove Junction||515030|OLDGJNJ||f|f|f|||
8423|Oldfield Park|OLF|321900|OLDFLDP|81503|t|f|f||373614|164533
8424|Oldfield Park Lower Bristol Road||321902|OLDFLBR||f|f|f|||
8425|Oldham Mumps|OLM|290700|OLDHAMM|31061|t|f|f||393330|404940
8426|Oldham Signal Box|||OLDHMSB||f|f|f|||
8427|Oldham Signal OO366|||OLDO366||f|f|f|||
8428|Oldham Werneth|OLW|290800|OLDHAMW|31063|t|f|f||391530|404680
8429|Old Hill|OHL|464100|OLHL|65925|t|f|f||396280|285890
8430|Old Kent Road Junction||515010|OLDKRDJ|87596|f|f|f|||
8431|Old Kew Junction||559360|OKEWJN|87145|f|f|f|||
8432|Old Oak Common|||OLDOAKC||f|f|f|||
8433|Old Oak Common Area Civil EngineerÂ?s Sidings|OCS|309613|OLDOACE|73222|t|f|f|||
8434|Old Oak Common Carriage Maintenance Depot|XOC||OLDOCMD||f|f|f|||
8435|Old Oak Common Carriage Sidings|XOK|309673|OLDOCCS|73221|f|f|f|||
8436|Old Oak Common Carriage Sidings English Welsh & Scottish Railway||309661|OLDOEWS|73223|f|f|f|||
8437|Old Oak Common Carriage Washing Machine||309602|OLDOCWM|73219|f|f|f|||
8438|Old Oak Common Coronation Sidings||||73118|f|f|f|||
8439|Old Oak Common East|OOE|309658|OLDOKCE|73226|t|f|f|||
8440|Old Oak Common Electric Multiple Unit Depot|XOE|309654|OLDOEMU|73228|f|f|f|||
8441|Old Oak Common Electric Multiple Unit Reception||309606|OLDOEMR|73229|f|f|f|||
8442|Old Oak Common High Speed Train Depot|XOO|309686|OLDOHST|73225|f|f|f|||
8443|Old Oak Common Platform (Temporary)||309615|OLDOPLT|73223|f|f|f|||
8444|Old Oak Common Reception Line||309614|OLDORL|73227|f|f|f|||
8445|Old Oak Common Signal OO219|||OLDO219||f|f|f|||
8446|Old Oak Common Signal OO222|||OLDO222||f|f|f|||
8447|Old Oak Common Staff Halt|||OLDOKSH||f|f|f|||
8448|Old Oak Common Tamper Siding||309605|OLDOTS||f|f|f|||
8449|Old Oak Common Traction Maintenance Depot|XOL|309659|OLDOTMD|73220|f|f|f|||
8450|Old Oak Common West||309657|OLDOKCW|73224|f|f|f|||
8451|Old Oak Common Yard|||OLDOKCY||f|f|f|||
8452|Old Roan|ORN|225800|OLDROAN|36015|t|f|f||336990|399330
8453|Old Street|OLD|600300|OLDST|54297|t|t|t||532700|182500
8454|Old Street LT|ZOS|066500|||t|f|f|||
8455|Old Trafford (Trafford Bar Metrolink)||296400|OLDTRFD||f|f|f|||
8456|Oleggio||||330|f|f|f|||
8457|Olive Mount Junction||216907|OLIVEMJ|36601|f|f|f|||
8458|Ollerton Colliery|||OLRTNCL|28502|f|f|f|||
8459|Ollerton Colliery Junction||676316|OLRTCLJ|28501|f|f|f|||
8460|Ollerton Rexco|||OLRTNRX|28503|f|f|f|||
8461|Olton|OLT|453300|OLTON|66461|t|f|f||413400|282300
8462|Ongar LT|ZON|066600|||t|f|f|||
8463|Onibury||363464|ONIBURY|76378|f|f|f|||
8464|Onllwyn Celtic Energy|OLL|420100|ONLLWYN|79503|t|f|f|||
8465|Onllwyn Run Round||420105|ONLLRR|79502|f|f|f|||
8466|Onllwyn Washery||||70903|f|f|f|||
8467|Oostende|OOS|081100|OOSTEND||t|f|f|||
8468|Orbliston||897725|ORBLTON|2009|f|f|f|||
8469|Ordsall Lane Ground Frame|||ORDSLGF||f|f|f|||
8470|Ordsall Lane Junction||291302|ORDSLLJ|31713|f|f|f|||
8471|Ordsall Lane Otis Euro Transrail||291315|ORDSLDT|31721|f|f|f|||
8472|Ore|ORE|502100|OREE|88288|t|t|t||582458|110693
8473|Ore Carriage Holding Sidings|||OREECHS||f|f|f|||
8474|Ore CEGB|||OREECGB||f|f|f|||
8475|Ore Up Siding||502102|OREESDG|88291|f|f|f|||
8476|Orgreave Coke Works||||25901|f|f|f|||
8477|Ormside||205210|ORMMSID|9429|f|f|f|||
8478|Ormskirk|OMS|228100|ORMSKRK|36001|t|f|f||341740|408435
8479|Orpington|ORP|512200|ORPNGTN|88491|t|t|t||545505|165875
8480|Orpington Down Sidings||512214|ORPNDSG|88494|f|t|t|||
8481|Orpington Electric Multiple Unit Depot||512264|ORPNGTD|88494|f|t|t|||
8482|Orpington Platform 1||512212|ORPNPL1|88494|f|t|t|||
8483|Orpington Platform 6||512213|ORPNPL6|88494|f|t|t|||
8484|Orpington Shunt Signal 2009||512206|ORPN009|88391|f|f|f|||
8485|Orpington Up Sidings|||ORPNUPS||f|f|f|||
8486|Orrell|ORR|225900|ORRELL|36042|t|f|f||353111|403973
8487|Orrell Park|OPK|224700|ORELPKH|36028|t|f|f||336140|396560
8488|Orton Mere|XOM|612914|ORTONMR|45141|f|f|f|||
8489|Osterley LT|ZOY|066700|||t|f|f|||
8490|Otford|OTF|507100|OTFORD|89348|t|f|t||553200|159407
8491|Otford Junction|XOT|507161|OTFORDJ|89347|f|t|t|||
8492|Otford No 2 Crossover||507102|OTFO2XO||f|f|f|||
8493|Otford Up Loop||507101|OTFOUL|89350|f|f|f|||
8494|Other - Outside NSE||999900|||f|f|f|||
8495|Ottery St Mary Broad Street|OSM|034600|OTTERBS||t|f|f|||
8496|Oubeck Goods Loop||268503|OUBCKGL|11723|f|f|f|||
8497|Oulton Broad North|OUN|727300|OULTNBN|48120|t|f|f||652420|293140
8498|Oulton Broad North Junction||727301|OULTBNJ|48118|f|f|f|||
8499|Oulton Broad South|OUS|727400|OULTNBS|49101|t|f|f||651940|292220
8500|Oundle Market Place Bus Stop||713500|OUNDLMP||f|f|f|||
8501|Outwood|OUT|830900|OUTWOOD|18064|t|f|f||432410|424430
8502|Oval|ZOV|066800|||t|f|f|||
8504|Over Junction(See also Gloucester Over Junction)|||OVERJ||f|f|f|||
8505|Overpool|OVE|215700|OPOL|38316|t|f|f||338490|376740
8506|Overton|OVR|552600|OVTN|86070|t|f|f||451738|150803
8507|Overton Village Post Office||552611|OVTNVPO||f|f|f|||
